Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
São Joaquim do Monte (PE),230.6,86.3,109.851415,62.65,69.36,3.54,55.48,76.61,0.56,54.82,59.05,0.571,71.86,52.43,2.27,7399,9176,1298,1617,17291,19842,11354,8488,PE,Grupo 1
São João (PE),236.6,83.4,187.1304225,61.61,74.74,3.32,49.39,76.67,0.57,45.97,57.99,0.593,82.2,59.75,2.58,7573,8749,1326,1517,18912,19744,7144,12600,PE,Grupo 1
São João (PR),371.8,30.1,348.683117,70.66,17.31,2.66,14.5,233.78,0.6,44.52,41.32,0.774,87.98,87.49,4.83,6249,6132,579,802,13661,11207,5788,5419,PR,Grupo 1
São João Batista (MA),800.2,23.6,73.20930094,58.66,67.42,2.94,38.27,72.92,0.56,62.89,69.63,0.592,78.35,69.61,3.26,5720,7621,933,1196,15707,18917,3549,15368,MA,Grupo 1
São João Batista (SC),219.9,67.5,46.34293048,75.73,12.1,3.42,6.05,300.33,0.44,48.23,37.85,0.819,76.99,94.59,5.54,6565,8035,729,869,13541,14861,11273,3588,SC,Grupo 1
São João Batista do Glória (MG),551.4,11.4,281.1970843,73.29,19.57,2.33,17.85,240.07,0.51,49.53,31.63,0.77,72.84,86.29,4.39,2664,3377,319,391,5352,6271,4819,1452,MG,Grupo 1
São João d'Aliança (GO),3339.5,2.1,286.8342603,67.99,26.56,3.36,24.08,193.13,0.7,46.18,47.41,0.718,73.0,81.71,3.89,2089,3088,187,349,5116,6736,4188,2548,GO,Grupo 1
São João da Baliza (RR),4324.7,1.2,224.262207,68.47,27.6,3.76,23.53,149.88,0.64,63.0,59.66,0.729,93.13,81.31,4.46,1149,1948,56,134,2926,5091,3882,1209,RR,Grupo 1
São João da Barra (RJ),461.9,59.5,262.4693725,69.23,19.94,2.24,16.14,177.33,0.52,50.72,38.32,0.723,65.77,86.22,4.64,10398,15239,1137,1975,20847,27682,19631,8051,RJ,Grupo 1
São João da Boa Vista (SP),517.4,149.20000000000002,176.2419037,76.92,6.93,2.01,7.14,408.33,0.54,51.17,34.87,0.843,79.51,93.56,6.8,37014,44977,4875,6505,69148,77387,71751,5636,SP,Grupo 1
São João da Canabrava (PI),581.7,7.3,250.7376006,59.88,62.03,3.03,49.78,71.72,0.62,59.6,61.42,0.567,73.3,58.27,2.24,1839,2005,258,333,4402,4240,1245,2995,PI,Grupo 1
São João da Fronteira (PI),1090.7,4.5,212.3736516,60.53,59.28,3.09,54.46,67.23,0.7,62.66,68.04,0.554,73.4,52.59,1.96,1685,1969,202,245,4553,4886,1613,3273,PI,Grupo 1
São João da Lagoa (MG),993.2,4.4,331.9969601,68.95,31.93,3.71,35.24,102.45,0.61,51.24,54.09,0.673,75.61,73.14,3.12,1746,1998,172,267,4366,4400,1928,2472,MG,Grupo 1
São João da Mata (MG),120.8,22.7,311.5862074,74.59,16.4,2.53,16.1,226.03,0.5,28.23,29.34,0.773,70.98,86.75,4.2,1239,1561,119,186,2541,2752,1610,1142,MG,Grupo 1
São João da Paraúna (GO),306.40000000000003,6.6000000000000005,123.9311479,73.54,13.7,3.27,19.05,227.28,0.57,44.22,34.65,0.779,83.66,85.53,4.58,901,1122,78,153,1878,2024,1357,667,GO,Grupo 1
São João da Ponta (PA),196.9,20.5,93.50935978,66.8,38.22,4.4,22.2,86.66,0.67,62.2,63.54,0.672,77.01,81.51,3.77,2089,1640,242,271,5395,4035,1051,2984,PA,Grupo 1
São João da Ponte (MG),1855.6,14.0,432.0695418,67.04,38.39,3.56,46.34,86.04,0.58,48.69,54.19,0.626,72.76,62.65,2.4,9648,10800,1056,1447,26224,26028,7862,18166,MG,Grupo 1
São João da Serra (PI),959.1,7.0,110.5109932,59.61,63.19,3.14,54.97,56.89,0.55,55.9,61.94,0.549,74.57,55.97,2.01,2737,3026,332,447,7288,6675,3163,3512,PI,Grupo 1
São João da Urtiga (RS),171.3,28.8,252.6909969,72.04,16.87,2.33,12.47,197.4,0.5,38.12,36.79,0.774,85.67,89.69,4.39,2782,2988,303,407,5212,4929,1743,3186,RS,Grupo 1
São João da Varjota (PI),387.0,11.3,229.2452751,62.89,49.93,2.68,52.62,62.95,0.6,59.89,63.61,0.576,78.87,55.51,1.97,1452,1900,207,285,3940,4375,1055,3320,PI,Grupo 1
São João das Duas Pontes (SP),129.9,20.5,521.4011405,71.84,14.72,1.91,20.88,220.52,0.53,42.22,33.85,0.754,76.22,83.07,4.4,1382,1505,133,215,2791,2660,2015,645,SP,Grupo 1
São João das Missões (MG),677.5,15.1,548.3417906,69.06,31.6,4.63,57.39,55.63,0.69,70.7,69.88,0.595,69.42,56.18,2.04,2529,3768,263,453,7045,10230,2089,8141,MG,Grupo 1
São João de Iracema (SP),178.4,9.4,510.0913735,70.79,16.68,1.89,18.93,218.69,0.56,49.61,34.06,0.761,85.72,84.31,4.89,766,951,89,126,1598,1671,1158,513,SP,Grupo 1
São João de Meriti (RJ),34.9,12881.4,20.07557461,69.65,19.06,2.27,6.72,233.12,0.48,63.08,46.08,0.774,80.01,94.28,6.4,213943,243176,18022,25844,425772,449476,449476,0,RJ,Grupo 3
São João de Pirabas (PA),709.4,24.6,166.3159047,68.41,32.77,4.49,32.0,75.13,0.64,66.52,61.66,0.652,74.0,73.82,3.32,5843,6793,900,1008,16259,17484,9832,7652,PA,Grupo 1
São João del Rei (MG),1467.5,53.5,149.9886632,74.58,16.43,2.04,7.55,277.29,0.55,32.18,32.08,0.816,85.03,94.01,6.31,38288,45624,4552,6050,72747,78616,73785,4831,MG,Grupo 1
São João do Araguaia (PA),1301.7,9.3,434.7569117,60.87,62.5,3.89,44.91,67.72,0.62,56.49,62.71,0.582,70.11,65.54,2.63,2604,4592,251,417,7528,12247,2413,9834,PA,Grupo 1
São João do Arraial (PI),200.2,28.6,146.5295928,55.86,80.85,3.53,54.64,59.22,0.57,58.06,63.62,0.528,74.21,55.32,2.22,1686,2342,211,352,4442,5734,2324,3410,PI,Grupo 1
São João do Caiuá (PR),304.1,20.0,422.420426,68.56,21.87,2.95,25.26,169.82,0.51,44.25,36.06,0.712,74.99,79.66,4.21,2778,3174,350,408,6008,6091,5070,1021,PR,Grupo 1
São João do Cariri (PB),700.6,5.5,186.6225332,66.06,38.73,2.44,27.18,102.01,0.49,35.15,42.74,0.674,87.13,75.33,3.72,1940,2438,445,509,4137,4703,1996,2707,PB,Grupo 1
São João do Carú (MA),717.3000000000001,18.8,244.7653598,60.23,60.54,4.82,63.39,52.23,0.58,61.97,65.11,0.511,59.73,47.08,1.38,3739,4699,237,452,11292,13495,3155,10340,MA,Grupo 1
São João do Itaperiú (SC),151.4,20.9,110.9221594,73.48,16.93,2.21,11.11,249.47,0.53,37.1,35.6,0.787,76.37,90.7,4.4,1386,1665,171,215,2876,3161,1454,1707,SC,Grupo 1
São João do Ivaí (PR),351.6,37.5,303.1315077,64.06,33.82,2.45,27.79,167.91,0.5,46.87,41.93,0.689,81.31,77.73,3.99,7656,7275,799,1038,16663,13196,9368,3828,PR,Grupo 1
São João do Jaguaribe (CE),286.8,30.1,175.2326904,71.99,26.94,2.17,35.2,110.74,0.57,45.17,49.65,0.694,80.04,70.97,3.4,4003,4810,722,841,8018,8650,2744,5906,CE,Grupo 1
São João do Manhuaçu (MG),142.9,58.7,198.9609967,65.93,42.42,3.09,23.45,199.77,0.63,35.45,43.95,0.698,63.6,81.66,3.81,2852,4035,300,441,6900,8716,3681,5035,MG,Grupo 1
São João do Manteninha (MG),139.8,31.4,317.5589847,64.47,48.07,2.21,32.66,150.89,0.57,48.21,44.98,0.666,70.87,73.93,3.42,1934,2460,326,457,4066,4406,2040,2366,MG,Grupo 1
São João do Oeste (SC),161.6,35.7,500.9870168,74.35,14.96,2.34,2.28,204.14,0.46,28.27,36.36,0.811,86.37,99.09,5.63,3914,3301,444,417,8549,5789,1494,4295,SC,Grupo 1
São João do Oriente (MG),120.6,70.4,195.5914842,65.32,44.74,2.51,28.13,133.18,0.52,41.42,41.49,0.679,74.4,79.23,3.7,3576,4279,479,668,8166,8492,6503,1989,MG,Grupo 1
São João do Pacuí (MG),422.1,8.700000000000001,368.6873296,66.84,39.1,3.78,30.41,71.01,0.56,50.24,56.74,0.615,75.94,61.52,2.24,1715,1628,208,228,4358,3664,1525,2139,MG,Grupo 1
São João do Paraíso (MA),2064.9,5.0,532.8332397,64.07,45.57,3.04,28.62,82.29,0.61,59.72,62.47,0.654,84.46,77.99,3.07,3347,4044,367,510,9705,10365,3829,6536,MA,Grupo 1
São João do Paraíso (MG),1928.0,10.9,540.9906509,70.44,27.36,3.86,53.01,81.25,0.52,46.71,50.9,0.644,77.38,61.34,1.88,7656,9131,940,1188,19534,21010,8231,12779,MG,Grupo 1
São João do Pau d'Alho (SP),118.2,18.4,575.4301762,70.18,17.89,1.95,17.67,217.57,0.52,48.85,37.24,0.754,80.28,85.69,4.97,1477,1330,160,246,2814,2180,1611,569,SP,Grupo 1
São João do Piauí (PI),1488.8,11.9,368.377095,62.38,51.84,2.89,35.57,108.48,0.62,48.28,56.55,0.65,91.58,70.17,3.39,5462,7634,696,1024,14326,17670,11353,6317,PI,Grupo 1
São João do Polêsine (RS),86.0,31.9,218.6406667,72.04,16.87,2.54,8.75,310.77,0.56,34.67,35.23,0.804,83.53,92.83,5.72,1435,1691,279,385,2271,2745,1061,1684,RS,Grupo 1
São João do Rio do Peixe (PB),470.2,37.5,397.8888092,58.64,67.52,2.44,41.61,91.22,0.6,51.54,55.12,0.595,78.08,65.81,3.3,7408,8815,1160,1445,17500,17661,6066,11595,PB,Grupo 1
São João do Sabugi (RN),287.2,19.7,242.7602884,73.32,22.51,2.31,28.25,117.82,0.52,54.41,47.8,0.725,87.61,76.31,4.26,2486,2996,448,504,5483,5698,4142,1556,RN,Grupo 1
São João do Soter (MA),1487.4,9.9,292.2896121,58.37,68.74,3.82,58.41,50.21,0.51,48.1,59.57,0.523,73.18,51.43,1.78,5453,5986,668,871,14380,14834,4442,10392,MA,Grupo 1
São João do Sul (SC),175.3,38.7,218.7084338,71.04,23.02,2.52,14.63,200.71,0.49,33.44,33.99,0.758,79.08,87.84,4.25,2624,3627,292,447,5529,6784,1143,5641,SC,Grupo 1
São João do Tigre (PB),689.3000000000001,6.5,243.4656867,56.0,80.15,2.81,52.84,67.15,0.6,58.6,63.03,0.527,70.55,53.23,2.12,1979,2108,335,344,4578,4481,1236,3245,PB,Grupo 1
São João do Triunfo (PR),717.1,17.3,106.4934074,62.08,40.21,2.56,13.53,131.44,0.58,37.14,48.55,0.679,71.57,88.85,3.91,5127,5870,480,642,12320,12418,3503,8915,PR,Grupo 1
São João dos Patos (MA),1574.0,14.7,445.5904268,63.22,48.69,2.86,33.24,99.43,0.61,57.3,61.66,0.64,78.32,72.02,3.72,8825,10498,1121,1586,21436,23182,18817,4365,MA,Grupo 1
São João Evangelista (MG),480.3,32.3,188.5728067,66.76,39.39,3.05,30.2,117.62,0.6,44.57,51.37,0.683,77.03,79.18,3.74,6455,7281,898,1228,15375,15526,9282,6244,MG,Grupo 1
São João Nepomuceno (MG),409.0,58.0,215.1918685,70.6,26.9,2.26,10.85,234.61,0.5,37.05,34.48,0.763,71.53,91.2,5.46,11577,13672,1845,2303,21432,23786,22332,1454,MG,Grupo 1
São Jorge (RS),116.2,24.8,176.5163594,73.83,13.38,2.05,8.06,316.42,0.45,29.61,31.18,0.814,85.05,91.69,5.25,1557,1750,197,242,2874,2875,1188,1687,RS,Grupo 1
São Jorge d'Oeste (PR),382.2,24.4,366.6636598,67.79,23.69,2.12,14.41,213.19,0.56,30.4,40.07,0.754,89.02,87.8,4.67,4793,5023,460,683,10321,9307,4511,4796,PR,Grupo 1
São Jorge do Ivaí (PR),320.6,17.400000000000002,377.4612393,73.32,12.38,2.71,12.81,266.21,0.52,32.26,31.71,0.792,85.47,87.17,5.37,3097,3309,325,414,6087,5590,4558,1032,PR,Grupo 1
São Jorge do Patrocínio (PR),242.8,27.1,506.2110809,65.66,29.21,2.21,22.87,159.57,0.53,32.0,39.33,0.708,84.18,81.7,3.96,4219,3717,371,487,9137,6604,2907,3697,PR,Grupo 1
São José (SC),114.9,1473.0,8.032119745,75.32,12.92,1.87,5.95,427.58,0.49,60.06,38.61,0.849,86.3,95.53,7.55,63985,92507,4500,7447,132208,173559,171230,2329,SC,Grupo 7
São José da Barra (MG),313.40000000000003,19.3,265.1115493,74.04,17.7,2.07,11.49,278.04,0.53,38.18,32.08,0.792,73.7,90.4,5.52,2826,3180,212,300,5955,6053,4319,1734,MG,Grupo 1
São José da Bela Vista (SP),277.7,29.0,344.2467045,71.09,16.1,3.36,15.61,199.59,0.48,53.9,33.32,0.753,77.07,86.44,4.45,3309,4082,334,463,7119,8075,6967,1108,SP,Grupo 1
São José da Boa Vista (PR),403.5,17.3,172.3164675,68.35,22.35,3.02,24.3,148.06,0.55,43.7,47.62,0.707,75.91,80.63,3.63,3822,3660,477,562,8507,6978,3501,3477,PR,Grupo 1
São José da Coroa Grande (PE),75.0,185.7,98.26896906,64.1,62.2,3.63,38.36,97.58,0.63,55.98,57.99,0.628,75.92,66.48,4.05,4123,5709,473,694,11533,13971,9516,4455,PE,Grupo 1
São José da Lagoa Tapada (PB),339.8,21.1,364.3430285,62.39,51.81,2.24,56.85,59.67,0.52,55.98,58.75,0.551,71.68,50.45,2.05,2985,3520,518,603,7070,7184,2978,4206,PB,Grupo 1
São José da Laje (AL),273.8,76.9,81.04275317,63.47,49.48,3.88,49.15,85.15,0.63,48.8,58.13,0.588,68.73,57.03,2.93,8668,8908,1315,1229,21996,21071,12520,8551,AL,Grupo 1
São José da Lapa (MG),48.8,307.6,12.89034422,68.19,34.42,2.48,11.58,211.1,0.49,54.29,40.8,0.747,73.51,91.55,5.54,3893,7437,280,670,9002,15000,8904,6096,MG,Grupo 1
São José da Safira (MG),215.1,18.0,252.5352331,59.46,70.8,3.34,35.31,95.67,0.55,47.0,51.59,0.614,73.29,73.47,3.02,1409,1633,178,218,3701,3894,2692,1202,MG,Grupo 1
São José da Tapera (AL),521.8,52.8,180.73443,59.35,67.4,6.05,58.92,43.49,0.74,74.45,76.25,0.529,83.47,49.75,2.0,9496,10080,1366,1467,27413,27562,9261,18301,AL,Grupo 1
São José da Varginha (MG),205.7,15.7,63.96408038,73.9,18.05,2.3,13.35,164.71,0.52,40.98,37.59,0.76,77.06,87.55,4.57,1238,1627,125,212,2690,3225,1541,1684,MG,Grupo 1
São José da Vitória (BA),53.6,115.7,251.189857,64.41,44.35,3.28,41.19,74.71,0.53,43.54,52.38,0.626,82.43,67.95,2.36,2981,2571,258,443,8768,6210,5154,1056,BA,Grupo 1
São José das Missões (RS),96.3,31.2,310.7095076,73.02,14.92,2.36,13.82,162.77,0.57,34.3,43.63,0.753,78.33,86.42,4.12,1639,1685,164,221,3493,3000,683,2317,RS,Grupo 1
São José das Palmeiras (PR),181.2,22.7,486.3828018,71.01,16.62,2.51,29.46,150.67,0.55,43.62,43.94,0.724,83.27,77.54,3.85,2271,2046,190,239,5596,4102,2259,1843,PR,Grupo 1
São José de Caiana (PB),203.3,28.2,379.3245406,60.97,57.48,2.67,51.96,56.07,0.56,54.99,63.89,0.561,76.53,57.38,2.26,1613,2188,220,279,4725,5737,2047,3690,PB,Grupo 1
São José de Espinharas (PB),735.9,6.9,273.2864301,60.47,59.52,2.47,40.4,72.25,0.48,53.1,52.36,0.593,78.85,65.85,2.57,2476,2429,375,381,6166,5109,1475,3634,PB,Grupo 1
São José de Mipibu (RN),294.3,120.0,31.27825819,68.59,36.99,3.31,39.2,104.42,0.55,45.74,48.86,0.671,85.91,67.67,3.81,11352,15602,1776,2155,28151,34912,15602,19310,RN,Grupo 1
São José de Piranhas (PB),700.9,25.5,401.2487751,63.52,47.55,2.53,39.99,82.76,0.57,54.98,59.19,0.612,75.92,64.82,2.78,7309,8457,1145,1361,17625,17876,8111,9765,PB,Grupo 1
São José de Princesa (PB),134.5,36.9,362.6826646,56.44,77.91,3.16,44.39,59.87,0.56,59.1,63.95,0.552,74.39,64.26,2.63,2135,2137,352,328,5582,4970,449,4521,PB,Grupo 1
São José de Ribamar (MA),436.1,246.1,27.8693421,64.84,42.85,2.73,14.82,129.59,0.62,50.36,51.47,0.7,81.19,87.09,6.16,31717,44137,2559,3674,82255,107384,27245,80139,MA,Grupo 1
São José de Ubá (RJ),251.3,25.6,215.4702483,68.83,20.82,2.1,24.34,199.51,0.55,35.54,38.39,0.718,69.76,80.04,3.82,2988,3551,370,423,6057,6413,2326,4087,RJ,Grupo 1
São José do Alegre (MG),89.5,42.5,323.1254988,70.9,26.01,2.78,14.01,204.41,0.54,33.07,32.32,0.756,75.4,88.71,4.77,1631,2062,199,297,3320,3802,2556,1246,MG,Grupo 1
São José do Barreiro (SP),572.1,7.2,233.0566285,65.57,28.54,3.49,18.17,225.63,0.62,36.94,37.98,0.727,80.2,83.9,4.78,1859,2169,232,335,3933,4143,2471,1672,SP,Grupo 1
São José do Belmonte (PE),1491.0,21.2,427.420663,67.84,45.66,3.27,41.89,82.27,0.58,43.43,54.71,0.635,76.08,64.34,3.07,11937,13783,1836,2106,31015,31652,14763,16889,PE,Grupo 1
São José do Bonfim (PB),122.2,23.2,269.7448283,57.47,72.9,2.47,47.19,71.74,0.5,50.18,52.68,0.562,74.73,61.32,2.59,1131,1379,194,233,2808,2838,965,1873,PB,Grupo 1
São José do Brejo do Cruz (PB),220.2,7.0,292.4198753,65.25,41.46,2.25,46.73,71.44,0.48,48.05,51.12,0.602,74.28,60.27,2.66,698,696,106,95,1771,1532,713,819,PB,Grupo 1
São José do Calçado (ES),279.40000000000003,37.5,157.7132969,70.4,22.65,2.76,20.1,205.97,0.55,43.38,33.05,0.745,78.36,83.31,5.08,4694,5835,729,1020,9423,10481,6959,3522,ES,Grupo 1
São José do Campestre (RN),345.8,34.6,80.40867223,65.76,47.18,3.39,44.96,83.9,0.61,60.47,59.49,0.631,84.13,63.29,3.16,4859,5446,886,1019,11826,11982,9265,2717,RN,Grupo 1
São José do Cedro (SC),261.2,52.4,505.6219814,75.94,11.68,2.4,11.85,244.76,0.55,42.1,43.98,0.804,80.07,90.95,5.12,6813,7240,515,823,15178,13678,6659,7019,SC,Grupo 1
São José do Cerrito (SC),968.7,10.5,200.0800179,71.62,21.49,2.38,18.29,154.85,0.59,50.33,49.57,0.731,74.05,83.29,3.94,5040,5670,652,856,11204,10393,2152,8241,SC,Grupo 1
São José do Divino (PI),319.2,15.3,178.0194026,58.64,67.49,3.09,50.3,61.19,0.52,48.11,56.69,0.544,69.85,56.58,2.03,1419,2071,163,234,3791,4881,2195,2686,PI,Grupo 1
São José do Divino (MG),327.3,11.8,307.7502236,66.72,39.52,2.91,38.09,124.71,0.59,39.76,49.53,0.67,76.42,72.35,3.46,1648,1780,215,247,4245,3863,2456,1407,MG,Grupo 1
São José do Egito (PE),783.3000000000001,37.6,271.1062464,67.46,47.24,2.46,35.42,97.28,0.59,58.1,56.24,0.657,75.9,70.93,3.92,12860,14777,2287,2664,28676,29468,17695,11773,PE,Grupo 1
São José do Goiabal (MG),185.8,32.3,131.3235125,64.38,48.44,2.39,21.05,125.23,0.5,28.26,38.32,0.685,81.54,82.23,4.1,2797,3061,377,498,6170,6009,3449,2560,MG,Grupo 1
São José do Herval (RS),101.5,24.9,150.6579681,75.0,11.31,3.0,34.28,166.83,0.58,47.8,47.13,0.742,78.32,75.68,3.74,1127,1310,147,191,2456,2530,730,1800,RS,Grupo 1
São José do Hortêncio (RS),64.5,52.4,56.1521373,76.82,8.37,2.18,3.15,250.83,0.38,36.26,32.32,0.815,71.58,97.31,5.14,1374,2043,195,296,2383,3387,2093,1294,RS,Grupo 1
São José do Inhacorá (RS),77.3,31.1,381.2044861,77.76,6.99,2.08,4.0,205.06,0.46,34.26,34.13,0.82,81.34,97.14,4.76,1482,1478,223,222,2674,2402,728,1674,RS,Grupo 1
São José do Jacuípe (BA),370.7,24.9,227.3779093,59.07,65.59,2.85,44.44,71.13,0.53,56.16,55.61,0.577,77.07,63.34,2.27,5331,4109,667,633,14100,9233,5701,3532,BA,Grupo 1
São José do Jacuri (MG),346.40000000000003,19.6,218.1837886,66.85,39.05,3.54,30.39,111.85,0.54,41.66,48.87,0.669,73.9,75.56,3.45,2966,3164,404,534,7271,6789,1714,5075,MG,Grupo 1
São José do Mantimento (MG),54.6,43.5,231.9407699,68.42,33.65,3.36,30.72,145.33,0.57,54.35,55.38,0.683,66.01,74.99,3.64,973,1190,145,186,2224,2379,1285,1094,MG,Grupo 1
São José do Norte (RS),1135.3,21.0,233.4160407,68.63,24.7,2.54,26.39,148.96,0.54,44.81,47.29,0.703,77.04,77.72,3.46,11936,13655,1224,1722,22071,23796,17294,6502,RS,Grupo 1
São José do Ouro (RS),317.40000000000003,22.2,254.0548945,69.04,23.68,2.33,9.39,250.9,0.56,47.96,39.78,0.787,96.06,91.76,5.65,4096,4256,442,585,7693,7051,4313,2738,RS,Grupo 1
São José do Peixe (PI),1370.1,2.8000000000000003,268.5331592,63.72,46.83,3.37,42.52,74.26,0.6,56.36,59.76,0.609,76.42,65.4,2.89,1525,1620,223,268,4162,3825,1891,1934,PI,Grupo 1
São José do Piauí (PI),287.7,23.2,246.4950217,62.91,49.82,2.36,54.03,62.74,0.62,67.18,66.29,0.559,62.02,56.11,2.16,2527,3038,318,434,6525,6706,1898,4808,PI,Grupo 1
São José do Povo (MT),445.6,6.9,219.1428351,67.63,32.3,2.29,30.99,146.09,0.51,58.43,46.7,0.699,82.92,75.64,3.62,1545,1667,137,211,3603,3056,1508,1548,MT,Grupo 1
São José do Rio Claro (MT),4970.6,2.6,248.0502184,70.71,23.46,2.3,20.89,263.66,0.58,61.55,38.4,0.754,72.98,82.9,4.47,4670,5803,214,399,11444,12740,10945,1795,MT,Grupo 1
São José do Rio Pardo (SP),420.1,119.1,218.4539539,74.1,10.93,2.17,7.46,337.97,0.51,42.39,36.53,0.815,78.98,92.82,6.44,22710,27591,2885,3984,44579,50077,41636,8441,SP,Grupo 1
São José do Rio Preto (SP),434.1,824.4,414.1563184,71.31,15.69,1.73,6.58,512.01,0.56,66.23,41.18,0.834,85.55,94.61,7.33,152539,209523,15888,25914,281382,358523,337289,21234,SP,Grupo 7
São José do Sabugi (PB),216.3,18.1,216.8461341,67.27,34.85,2.51,36.08,89.11,0.48,42.39,48.41,0.656,82.14,69.99,3.47,1774,1949,285,298,4001,3903,2212,1691,PB,Grupo 1
São José do Seridó (RN),194.9,19.3,198.2040285,73.22,22.77,2.65,26.34,149.65,0.56,42.96,42.77,0.74,84.16,79.14,4.53,1427,1882,211,279,3224,3777,2659,1118,RN,Grupo 1
São José do Vale do Rio Preto (RJ),240.6,80.2,88.50063057,67.4,24.08,2.77,18.45,215.83,0.53,43.75,39.47,0.72,64.11,85.3,4.05,7379,10093,713,1047,15472,19278,9007,10271,RJ,Grupo 1
São José do Xingu (MT),13142.6,0.5,644.2300198,63.32,47.43,3.09,24.85,169.27,0.58,74.16,54.82,0.681,72.95,79.87,3.89,1459,2664,92,127,3769,5944,3245,2699,MT,Grupo 1
São José dos Ausentes (RS),1175.4,2.6,181.9013978,68.96,23.87,3.6,14.03,188.47,0.54,33.03,38.12,0.738,74.02,88.21,4.79,1357,1612,148,172,2828,3104,1516,1588,RS,Grupo 1
São José dos Basílios (MA),346.3,22.1,281.8605196,56.55,77.37,3.83,49.49,61.35,0.5,42.56,53.75,0.556,82.58,61.19,2.34,2845,2877,327,342,8160,7432,2713,4719,MA,Grupo 1
São José dos Campos (SP),1102.2,488.9,86.71163336,73.89,11.26,2.06,5.66,470.02,0.58,67.32,48.92,0.849,89.2,95.42,7.68,210850,282065,14633,23610,442370,539313,532717,6596,SP,Grupo 3
São José dos Cordeiros (PB),418.1,9.9,216.5810902,65.68,40.0,2.81,35.6,76.03,0.51,51.02,55.05,0.631,76.77,69.46,2.62,1800,2029,384,408,4168,4136,1307,2829,PB,Grupo 1
São José dos Pinhais (PR),931.7,219.2,13.65787934,70.85,16.93,2.52,7.01,311.29,0.52,65.75,42.8,0.796,79.31,94.31,6.11,58195,101573,4252,7440,127455,204316,183366,20950,PR,Grupo 7
São José dos Quatro Marcos (MT),1285.2,15.3,222.515589,69.69,26.23,2.26,20.32,168.05,0.49,48.45,40.64,0.735,80.55,84.58,4.01,7225,10008,574,1061,17962,19693,13898,5795,MT,Grupo 1
São José dos Ramos (PB),80.7,60.7,59.39391926,57.3,73.74,3.27,60.9,67.03,0.55,46.45,55.56,0.525,74.66,46.99,1.93,1791,2099,357,393,4584,4900,1536,3364,PB,Grupo 1
São Julião (PI),291.8,19.5,311.220921,58.89,66.36,2.41,51.88,93.46,0.63,59.01,58.91,0.578,79.97,56.08,2.44,2429,2817,305,397,5560,5700,2134,3566,PI,Grupo 1
São Leopoldo (RS),107.0,1807.5,31.37177502,68.99,23.8,2.16,5.9,370.06,0.55,54.77,40.79,0.805,86.3,95.22,6.88,81846,103932,6591,9823,161603,193547,192895,652,RS,Grupo 7
São Lourenço (MG),57.2,644.3000000000001,279.7143629,76.9,11.34,2.24,7.89,402.56,0.65,54.99,36.36,0.839,76.65,93.57,6.61,15401,20633,2061,3078,29870,36927,36927,0,MG,Grupo 1
São Lourenço d'Oeste (SC),361.3,54.4,447.6451794,72.7,18.78,2.41,12.3,273.94,0.54,46.2,42.82,0.796,84.53,89.99,5.02,8289,10180,687,1095,18320,19647,13407,6240,SC,Grupo 1
São Lourenço da Mata (PE),264.4,341.7,16.1437614,70.66,34.81,2.58,26.08,124.58,0.55,46.62,47.26,0.707,80.2,77.24,4.78,33760,42706,3289,4368,83341,90402,83543,6859,PE,Grupo 1
São Lourenço da Serra (SP),187.1,65.1,46.09083083,71.69,15.0,2.84,17.54,239.13,0.58,63.75,47.81,0.771,82.73,85.99,4.85,3390,6015,310,566,7596,12199,10781,1418,SP,Grupo 1
São Lourenço do Piauí (PI),680.0,6.3,454.2539249,62.82,50.16,2.93,32.82,66.64,0.51,47.02,55.24,0.621,79.62,73.89,2.77,1412,2097,216,345,3515,4274,691,3583,PI,Grupo 1
São Lourenço do Sul (RS),2028.3,21.5,164.3622085,71.59,17.81,2.2,7.75,237.01,0.53,50.35,40.09,0.777,74.67,92.87,5.06,22688,25585,3379,4344,41206,43691,23463,20228,RS,Grupo 1
São Ludgero (SC),120.2,71.4,101.7893549,75.17,13.23,2.38,6.61,330.77,0.53,32.19,32.5,0.825,79.92,94.79,5.76,2531,4305,254,360,5488,8587,5995,2592,SC,Grupo 1
São Luis do Piauí (PI),204.4,12.1,252.7700239,58.33,68.91,2.27,52.64,64.4,0.58,61.43,60.68,0.544,73.44,54.68,2.16,1052,1203,156,198,2437,2488,594,1894,PI,Grupo 1
São Luiz (RR),1533.9,3.5,209.6049759,64.74,38.91,3.7,27.46,149.49,0.66,61.6,58.53,0.704,89.55,81.47,4.22,1199,2075,58,145,3053,5311,3447,1864,RR,Grupo 1
